timestamp,oi_sum,oi_mean,oi_std,oi_min,oi_max,ltp_mean,ltp_std,ltp_min,ltp_max,strike_min,strike_max,strike_mean,token_count,call_oi_total,call_ltp_avg,put_oi_total,put_ltp_avg,pcr,underlying_price,atm_strike,future_price,price_change,price_change_pct,direction
2025-11-11 16:50:11.579773,9917060,450775.4545454546,292049.4147315171,47020,1257160,361.3545454545455,168.77906233628886,133.25,708.8,82700.0,83700.0,83200.0,22,5133360,399.0863636363636,4783700,323.6227272727273,0.9318847694297692,83200.59,83200.0,83206.1,5.510000000009313,0.0066225491910686,0
2025-11-11 16:50:42.507969,9917060,450775.4545454546,292049.4147315171,47020,1257160,361.5272727272728,168.04122419901324,134.45,708.8,82700.0,83700.0,83200.0,22,5133360,397.7818181818182,4783700,325.27272727272725,0.9318847694297692,83196.19,83200.0,83204.71,8.520000000004075,0.0102408535775545,0
2025-11-11 16:51:13.478226,9935940,451633.6363636363,292575.68407158635,46840,1260220,361.4522727272727,167.8571788592575,135.55,706.95,82700.0,83700.0,83200.0,22,5160820,396.7409090909091,4775120,326.1636363636364,0.9252638146651112,83197.93,83200.0,83212.43,14.5,0.0174283182285905,0
2025-11-11 16:51:44.461174,9935940,451633.6363636363,292575.68407158635,46840,1260220,360.1931818181818,167.28870560419574,135.25,700.0,82700.0,83700.0,83200.0,22,5160820,393.24545454545455,4775120,327.14090909090913,0.9252638146651112,83194.3,83200.0,83212.91,18.610000000000586,0.0223693209751155,0
2025-11-11 16:52:15.431838,9935940,451633.6363636363,292575.68407158635,46840,1260220,360.40909090909093,169.80972799855644,129.95,713.4,82700.0,83700.0,83200.0,22,5160820,403.7818181818182,4775120,317.03636363636366,0.9252638146651112,83191.88,83200.0,83206.6,14.720000000001164,0.0176940345620283,0
2025-11-11 16:52:46.418760,9935940,451633.6363636363,292575.68407158635,46840,1260220,360.975,170.35173958187642,131.0,718.95,82700.0,83700.0,83200.0,22,5160820,403.09090909090907,4775120,318.85909090909087,0.9252638146651112,83210.01,83200.0,83220.14,10.130000000004657,0.0121740160829263,0
2025-11-11 16:53:17.543610,9935940,451633.6363636363,292575.68407158635,46840,1260220,360.02272727272725,169.46828311717798,130.35,712.2,82700.0,83700.0,83200.0,22,5160820,401.4318181818182,4775120,318.6136363636364,0.9252638146651112,83204.39,83200.0,83237.21,32.820000000006985,0.0394450340901567,0
2025-11-11 16:53:48.579965,9935940,451633.6363636363,292575.68407158635,46840,1260220,359.4340909090909,167.51084071981134,133.8,702.0,82700.0,83700.0,83200.0,22,5160820,393.6863636363637,4775120,325.1818181818182,0.9252638146651112,83204.52,83200.0,83249.88,45.36000000000058,0.0545162690680753,1
2025-11-11 16:54:19.577622,9957340,452606.3636363637,293922.9784038094,47060,1265980,358.80454545454546,165.98187215210243,137.8,688.45,82700.0,83700.0,83200.0,22,5230640,383.9136363636364,4726700,333.69545454545454,0.9036561491519204,83183.67,83200.0,83248.29,64.61999999999534,0.0776835164882665,1
2025-11-11 16:54:50.577706,9957340,452606.3636363637,293922.9784038094,47060,1265980,358.05227272727274,165.62995938829934,135.15,688.45,82700.0,83700.0,83200.0,22,5230640,388.9318181818182,4726700,327.1727272727273,0.9036561491519204,83179.78,83200.0,83252.17,72.38999999999942,0.0870283619408458,1
2025-11-11 16:55:21.650337,9957340,452606.3636363637,293922.9784038094,47060,1265980,359.14090909090913,166.73237512079027,135.05,694.8,82700.0,83700.0,83200.0,22,5230640,390.44090909090914,4726700,327.84090909090907,0.9036561491519204,83182.38,83200.0,83257.04,74.65999999998894,0.0897545850455214,1
2025-11-11 16:55:52.736247,9957340,452606.3636363637,293922.9784038094,47060,1265980,359.25,167.05211690339263,134.55,694.8,82700.0,83700.0,83200.0,22,5230640,393.2,4726700,325.3,0.9036561491519204,83194.32,83200.0,83253.2,58.879999999990105,0.0707740624600213,1
